"DAYDT";"WEEKOFYEARID";"YEARID";"MONTH"
"2011-04-07";14;2011;4
"2011-02-11";6;2011;2
"2012-01-13";2;2012;1
"2011-07-16";28;2011;7
"2012-08-31";35;2012;8
"2012-10-31";44;2012;10
"2012-01-12";2;2012;1
"2012-03-25";12;2012;3
"2012-08-19";33;2012;8
"2012-01-24";4;2012;1
"2011-09-29";39;2011;9
"2010-09-22";38;2010;9
"2010-05-23";20;2010;5
"2010-01-30";4;2010;1
"2011-10-03";40;2011;10
"2011-12-05";49;2011;12
"2012-08-02";31;2012;8
"2012-01-28";4;2012;1
"2011-11-18";46;2011;11
"2010-03-03";9;2010;3
"2010-11-13";45;2010;11
"2012-08-17";33;2012;8
"2012-07-25";30;2012;7
"2011-10-23";42;2011;10
"2010-09-20";38;2010;9
"2011-04-26";17;2011;4
"2011-03-10";10;2011;3
"2012-04-16";16;2012;4
"2010-07-01";26;2010;7
"2012-12-16";50;2012;12
"2012-04-28";17;2012;4
"2011-06-27";26;2011;6
"2011-04-21";16;2011;4
"2012-08-21";34;2012;8
"2011-10-02";39;2011;10
"2011-03-23";12;2011;3
"2010-01-06";1;2010;1
"2012-03-19";12;2012;3
"2010-10-04";40;2010;10
"2010-04-02";13;2010;4
"2012-06-20";25;2012;6
"2011-07-20";29;2011;7
"2012-03-02";9;2012;3
"2011-08-10";32;2011;8
"2012-05-04";18;2012;5
"2012-08-07";32;2012;8
"2012-06-15";24;2012;6
"2010-08-10";32;2010;8
"2010-08-24";34;2010;8
"2011-06-30";26;2011;6
"2010-07-25";29;2010;7
"2012-09-07";36;2012;9
"2010-11-19";46;2010;11
"2011-01-06";1;2011;1
"2010-01-07";1;2010;1
"2011-04-28";17;2011;4
"2011-10-10";41;2011;10
"2012-09-28";39;2012;9
"2010-11-15";46;2010;11
"2012-12-19";51;2012;12
"2011-09-15";37;2011;9
"2010-01-18";3;2010;1
"2012-01-15";2;2012;1
"2012-04-22";16;2012;4
"2010-09-03";35;2010;9
"2012-05-12";19;2012;5
"2010-10-03";39;2010;10
"2011-04-27";17;2011;4
"2010-08-18";33;2010;8
"2011-05-20";20;2011;5
"2011-05-14";19;2011;5
"2010-06-03";22;2010;6
"2011-07-31";30;2011;7
"2012-10-07";40;2012;10
"2010-08-06";31;2010;8
"2011-05-06";18;2011;5
"2010-08-04";31;2010;8
"2012-11-16";46;2012;11
"2012-05-26";21;2012;5
"2010-05-17";20;2010;5
"2010-07-09";27;2010;7
"2010-06-25";25;2010;6
"2012-12-12";50;2012;12
"2010-05-01";17;2010;5
"2011-08-04";31;2011;8
"2011-02-05";5;2011;2
"2012-01-29";4;2012;1
"2010-11-23";47;2010;11
"2010-03-14";10;2010;3
"2012-10-04";40;2012;10
"2010-03-30";13;2010;3
"2012-11-01";44;2012;11
"2011-07-08";27;2011;7
"2011-12-31";52;2011;12
"2011-01-03";1;2011;1
"2010-01-08";1;2010;1
"2010-12-01";48;2010;12
"2012-12-13";50;2012;12
"2012-04-09";15;2012;4
"2012-08-11";32;2012;8
"2010-05-03";18;2010;5
"2012-03-13";11;2012;3
"2011-10-15";41;2011;10
"2012-02-26";8;2012;2
"2010-09-07";36;2010;9
"2012-05-31";22;2012;5
"2011-07-18";29;2011;7
"2012-07-22";29;2012;7
"2011-12-19";51;2011;12
"2011-07-12";28;2011;7
"2012-11-08";45;2012;11
"2011-04-10";14;2011;4
"2011-11-26";47;2011;11
"2010-05-22";20;2010;5
"2012-06-03";22;2012;6
"2012-10-06";40;2012;10
"2011-08-02";31;2011;8
"2012-01-30";5;2012;1
"2010-05-09";18;2010;5
"2010-03-24";12;2010;3
"2010-05-27";21;2010;5
"2012-06-04";23;2012;6
"2010-11-07";44;2010;11
"2011-01-14";2;2011;1
"2012-01-25";4;2012;1
"2012-12-01";48;2012;12
"2010-02-19";7;2010;2
"2011-11-30";48;2011;11
"2012-08-24";34;2012;8
"2012-06-05";23;2012;6
"2012-11-07";45;2012;11
"2012-11-15";46;2012;11
"2010-06-12";23;2010;6
"2012-03-04";9;2012;3
"2012-08-27";35;2012;8
"2012-05-21";21;2012;5
"2012-11-13";46;2012;11
"2010-01-12";2;2010;1
"2010-10-18";42;2010;10
"2011-01-18";3;2011;1
"2012-04-13";15;2012;4
"2011-04-09";14;2011;4
"2010-04-27";17;2010;4
"2011-07-30";30;2011;7
"2012-06-28";26;2012;6
"2011-05-30";22;2011;5
"2010-06-15";24;2010;6
"2010-03-18";11;2010;3
"2010-10-22";42;2010;10
"2010-12-05";48;2010;12
"2011-02-17";7;2011;2
"2012-07-23";30;2012;7
"2011-05-31";22;2011;5
"2011-03-24";12;2011;3
"2011-06-10";23;2011;6
"2012-07-07";27;2012;7
"2010-09-02";35;2010;9
"2012-12-14";50;2012;12
"2011-04-05";14;2011;4
"2012-08-26";34;2012;8
"2010-05-15";19;2010;5
"2012-12-21";51;2012;12
"2012-08-09";32;2012;8
"2012-10-21";42;2012;10
"2010-11-21";46;2010;11
"2011-06-06";23;2011;6
"2012-07-12";28;2012;7
"2011-01-09";1;2011;1
"2011-03-15";11;2011;3
"2011-03-12";10;2011;3
"2012-01-02";1;2012;1
"2010-12-24";51;2010;12
"2011-03-31";13;2011;3
"2011-06-04";22;2011;6
"2012-09-21";38;2012;9
"2012-01-17";3;2012;1
"2010-04-13";15;2010;4
"2011-09-14";37;2011;9
"2012-11-29";48;2012;11
"2010-07-24";29;2010;7
"2010-02-17";7;2010;2
"2010-08-31";35;2010;8
"2011-09-09";36;2011;9
"2010-02-28";8;2010;2
"2011-05-25";21;2011;5
"2011-05-27";21;2011;5
"2010-04-19";16;2010;4
"2011-12-23";51;2011;12
"2012-04-26";17;2012;4
"2012-08-05";31;2012;8
"2011-01-17";3;2011;1
"2012-12-23";51;2012;12
"2012-10-09";41;2012;10
"2012-02-13";7;2012;2
"2011-07-26";30;2011;7
